0x0080	0x0100	O	  0	  0	  5	  0	  5	  5	  3	-64	-64
0x0010	0x0100	O	  0	  0	  0	  0	-64	  0	  0	  0	-64
0x0040	0x0180	X	  5	  0	 -6	  5	  0	  0	-64	-64	-64
0x0040	0x0080	O	  0	 -4	  0	  0	  0	 -4	-64	-64	 -4
0x0060	0x0180	O	 -6	 -6	 -6	  0	  7	-64	-64	-64	-64
0x0050	0x0180	O	 -8	 -8	  0	 -8	-64	 -8	-64	-64	-64
0x0010	0x0180	X	 -8	 -8	 -8	 -8	-64	 -8	  0	-64	-64
0x0028	0x0180	O	 -8	 -8	 -8	-64	  7	-64	  9	-64	-64
0x0008	0x0080	O	  0	 -4	  0	-64	  5	  3	  5	-64	  3
0x0004	0x0080	O	  0	 -4	-64	 -4	  0	 -4	 -4	-64	  5
0x0042	0x0180	O	  0	-64	  0	 -6	 -6	 -6	-64	-64	-64
0x0006	0x0180	O	  7	-64	-64	 -8	 -8	 -8	  9	-64	-64
0x0041	0x0180	O	-64	 -8	 -8	 -6	 -8	 -8	-64	-64	-64
0x0011	0x0180	O	-64	 -6	  7	  5	-64	  7	  9	-64	-64
0x0009	0x0180	O	-64	 -8	 -8	-64	 -8	 -8	  9	-64	-64
0x0003	0x0180	O	-64	-64	  7	 -8	 -8	 -8	  9	-64	-64
0x0080	0x0140	X	 -6	 -6	 -6	 -6	  0	 -4	-64	-64	-64
0x00a0	0x0140	O	  7	  5	  0	  5	  7	-64	-64	-64	-64
0x0020	0x0140	X	 -8	 -8	 -8	 -8	 -8	-64	-64	 -6	-64
0x0020	0x00c0	X	 -8	 -8	 -8	 -8	 -8	-64	-64	-64	  5
0x0020	0x0040	O	  5	  3	  3	  3	  5	-64	-64	  3	  5
0x0030	0x0140	O	 -8	 -8	 -8	  7	-64	-64	-64	  9	-64
0x0030	0x00c0	O	 -8	 -8	 -8	  7	-64	-64	-64	-64	  9
0x0018	0x0140	O	 -8	 -8	 -8	-64	-64	  7	-64	  9	-64
0x0108	0x00c0	O	 -6	 -6	 -6	-64	  7	  5	-64	-64	-64
0x0028	0x00c0	O	 -8	 -8	 -8	-64	  7	-64	-64	-64	  9
0x0018	0x00c0	O	 -8	 -8	 -8	-64	-64	  0	-64	-64	  9
